day,ua_browser_version,ua_browser,ua_form_factor,ua_os_version,ua_os,page_path,page_resource_id,page_type,page_url,location_city,location_region,location_country,referrer_host,referrer_name,referrer_path,referrer_source,referrer_terms,referrer_url,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion,avg_duration,total_bounce_rate,total_pageviews,total_visitors
2020-01-01,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0s,0,0,0
2020-01-02,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0s,0,0,0
2020-01-03,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0s,0,0,0
2020-01-04,79,HeadlessChrome,Desktop,,Linux,,,Homepage,https://thebeardroller.com/,Seattle,Washington,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-01-04,12,Mobile Safari,Mobile,12,iOS,,,Homepage,https://thebeardroller.com/,Vancouver,British Columbia,Canada,r.search.yahoo.com,Yahoo!,/_ylt=Awr9J.fIOBFeU8gAlLU5ByI5;_ylu=X3oDMTByYnR1Zmd1BGNvbG8DZ3ExBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1578215752/RO=10/RU=https%3a%2f%2fthebeardroller.com%2f/RK=2/RS=wwqecwCgfaVsvSSHyK3sDs5iPAQ-,Search,,r.search.yahoo.com/_ylt=Awr9J.fIOBFeU8gAlLU5ByI5;_ylu=X3oDMTByYnR1Zmd1BGNvbG8DZ3ExBHBvcwMyBHZ0aWQDBHNlYwNzcg--/RV=2/RE=1578215752/RO=10/RU=https%3a%2f%2fthebeardroller.com%2f/RK=2/RS=wwqecwCgfaVsvSSHyK3sDs5iPAQ-,1,0,0,0,0,19s,0,2,1
2020-01-05,13,Mobile Safari,Mobile,13,iOS,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,Vancouver,British Columbia,Canada,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-01-05,65,Chrome,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,Beijing,Beijing,China,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-01-05,121,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Quincy-Voisins,Île-de-France,France,,,,Direct,,,1,1,0,0,0,2m53s,0,2,1
2020-01-05,70,Firefox,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,New York,New York,United States,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,1,0,0,0,0,0s,1,1,1
2020-01-06,79,Chrome,Desktop,10,Mac OS X,,,Homepage,https://thebeardroller.com/,,,Canada,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,0s,1,1,1
2020-01-06,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Newbury,England,United Kingdom,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,7,0,0,0,0,0s,1,7,7
2020-01-06,36,Instagram,Mobile,11,iOS,,,Homepage,https://thebeardroller.com/,Central,Central and Western District,Hong Kong,l.instagram.com,Instagram,,Social,,l.instagram.com?u=http%3A%2F%2Fthebeardroller.com%2F&e=AT3qGnXMkjSonWZ9RVOmipair0EFyehVCw8GBH6Y2vJ1QVDIMosKiWXRWWok-tgsILHx4P-C47sFrfHYZIV5chcsmzjBZSH0u_AAhkrzzO3QeYACc4WRkpPcm6k,1,0,0,0,0,26s,0,2,1
2020-01-07,13,Mobile Safari,Mobile,13,iOS,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,Maple Ridge,British Columbia,Canada,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-01-07,13,Mobile Safari,Mobile,13,iOS,/checkouts,,Checkout,https://thebeardroller.com/9854287950/checkouts/59400cd4f014f3ced00b5b2d5638c994?key=3d1ab6870ec8ea2300a94955bd6b8a03&skip_shopify_pay=true,Maple Ridge,British Columbia,Canada,thebeardroller.com,,/products/the-beard-roller,Direct,,thebeardroller.com/products/the-beard-roller,1,0,0,0,0,0s,1,1,1
2020-01-07,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Newbury,England,United Kingdom,duckduckgo.com,DuckDuckGo,,Search,,duckduckgo.com,3,0,0,0,0,0s,1,3,3
2020-01-07,12,Mobile Safari,Mobile,12,iOS,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,Abbotsford,British Columbia,Canada,,,,Direct,,,1,0,0,0,0,1m0s,0,3,1
2020-01-08,123,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Mesa,Arizona,United States,,,,Direct,,,1,0,0,0,0,17s,0,2,1
2020-01-08,18,Edge,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Maltby,England,United Kingdom,www.bing.com,Bing,/search,Search,beard roller,www.bing.com/search?q=beard+roller&form=EDNTHT&mkt=en-gb&httpsmsn=1&msnews=1&plvar=0&refig=eac0e20409964df1e568f0fcd584644d&PC=DCTS&sp=1&qs=HS&sk=PRES1&sc=7-0&cvid=eac0e20409964df1e568f0fcd584644d&cc=GB&setlang=en-US,1,0,0,0,0,0s,1,1,1
