month,ua_browser_version,ua_browser,ua_form_factor,ua_os_version,ua_os,page_path,page_resource_id,page_type,page_url,location_city,location_region,location_country,referrer_host,referrer_name,referrer_path,referrer_source,referrer_terms,referrer_url,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion,avg_duration,total_bounce_rate,total_pageviews,total_visitors
2020-03,133,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Cologne,North Rhine-Westphalia,Germany,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,80,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Arlington,Virginia,United States,search.yahoo.com,Yahoo!,,Search,,search.yahoo.com,1,1,1,0,0,15m9s,0,7,1
2020-03,133,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Goodyear,Arizona,United States,,,,Direct,,,1,0,0,0,0,9m54s,0,2,1
2020-03,80,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Laval,Quebec,Canada,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,4s,0,2,1
2020-03,133,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Santa Clara,California,United States,,,,Direct,,,1,1,0,0,0,31s,0,3,1
2020-03,80,Chrome Mobile iOS,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Pacoima,California,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,134,Instagram,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Hamburg,Hamburg,Germany,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,0s,1,1,1
2020-03,80,Chrome Mobile,Mobile,8,Android,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/dc33727de9bdfdabe5d0b0b71efcf789,Columbus,Georgia,United States,,,,Direct,,,2,0,0,0,0,0s,1,2,1
2020-03,134,Instagram,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Stoney Creek,Ontario,Canada,l.instagram.com,Instagram,,Social,,l.instagram.com,1,0,0,0,0,24s,0,3,1
2020-03,80,Chrome Mobile iOS,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-03,134,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Silver Spring,Maryland,United States,,,,Direct,,,1,1,1,1,1,5m4s,0,8,1
